               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10124,             0.02362,            0.036202,          2.9464e-05,            0.017857,          2.4078e-05,          4.8157e-06,             0.11204,            0.021418,            0.040401,               0.082,               0.002,               0.002
                   1,             0.10111,            0.020073,            0.036979,          0.00028847,            0.061335,          0.00053505,          0.00010614,              0.1073,            0.018616,            0.037279,             0.06309,           0.0040899,           0.0040899
                   2,            0.091973,            0.017347,            0.032983,          0.00027003,            0.072205,          0.00029273,          7.6736e-05,             0.10173,            0.016594,            0.034318,            0.044169,           0.0061693,           0.0061693
                   3,            0.089589,            0.014828,            0.032033,          0.00039805,             0.14053,          0.00048422,          9.8681e-05,            0.097385,             0.01554,            0.033187,            0.025238,           0.0082384,           0.0082384
                   4,            0.087302,             0.01338,            0.027775,          0.00035992,             0.11568,          0.00033511,          0.00010156,            0.098844,            0.012447,            0.032044,            0.009901,            0.009901,            0.009901
                   5,            0.082712,            0.011483,            0.026046,          0.00034839,             0.12655,          0.00030277,          8.3861e-05,            0.098315,            0.012127,            0.028925,            0.009901,            0.009901,            0.009901
                   6,             0.08275,             0.01197,            0.028484,          0.00041631,             0.17702,          0.00039704,          0.00011417,             0.09464,            0.012039,            0.027267,           0.0098763,           0.0098763,           0.0098763
                   7,             0.07663,            0.012946,            0.025113,          0.00035702,             0.17003,          0.00030587,          0.00014718,            0.094821,            0.011418,            0.026418,           0.0098515,           0.0098515,           0.0098515
                   8,            0.086215,            0.011795,            0.028547,          0.00034666,             0.19177,          0.00040589,          0.00013523,            0.089231,            0.011864,            0.027056,           0.0098268,           0.0098268,           0.0098268
                   9,            0.075324,            0.011275,            0.024934,          0.00039563,             0.21739,          0.00075317,           0.0002641,            0.087785,            0.011818,             0.02607,            0.009802,            0.009802,            0.009802
                  10,            0.084245,               0.011,            0.023665,          0.00069136,             0.21694,           0.0015628,          0.00058415,             0.09055,             0.01138,            0.024191,           0.0097773,           0.0097773,           0.0097773
                  11,            0.081362,            0.011637,            0.027083,           0.0013836,             0.25326,           0.0025025,          0.00063678,            0.081369,            0.012746,            0.023489,           0.0097525,           0.0097525,           0.0097525
                  12,              0.0729,            0.011813,            0.025982,           0.0022976,             0.27781,           0.0029001,          0.00095962,            0.082584,            0.012519,            0.023087,           0.0097278,           0.0097278,           0.0097278
                  13,            0.075478,            0.012222,            0.025883,           0.0037765,             0.32201,           0.0064177,           0.0017319,            0.078763,            0.013102,            0.023339,            0.009703,            0.009703,            0.009703
                  14,            0.073685,            0.012718,            0.025335,           0.0030966,             0.30951,            0.008512,           0.0032158,            0.081992,            0.012261,            0.023271,           0.0096783,           0.0096783,           0.0096783
                  15,            0.070158,            0.013097,            0.025868,            0.005302,             0.38496,            0.017379,           0.0048973,            0.079513,            0.013295,            0.022508,           0.0096535,           0.0096535,           0.0096535
                  16,            0.063616,            0.011576,            0.025781,           0.0065949,             0.45238,            0.023495,           0.0063045,            0.078549,            0.013255,            0.022438,           0.0096288,           0.0096288,           0.0096288
                  17,            0.066175,            0.012257,            0.024892,           0.0059855,             0.57976,            0.053658,            0.015272,            0.077587,            0.013235,            0.022035,            0.009604,            0.009604,            0.009604
                  18,             0.06715,            0.011355,            0.023939,           0.0042803,             0.63393,            0.038016,            0.014087,            0.077553,            0.012287,            0.022965,           0.0095793,           0.0095793,           0.0095793
                  19,            0.063657,            0.012755,            0.024031,           0.0047343,             0.71042,             0.06365,            0.028324,            0.068219,            0.014002,            0.023006,           0.0095545,           0.0095545,           0.0095545
                  20,            0.069527,            0.011138,            0.023711,           0.0031358,             0.59613,            0.053327,            0.015368,            0.083191,            0.010881,            0.022488,           0.0095298,           0.0095298,           0.0095298
                  21,            0.066954,            0.011737,            0.020993,           0.0054023,              0.8506,            0.063719,            0.021376,            0.077315,            0.012864,            0.021576,            0.009505,            0.009505,            0.009505
                  22,            0.058691,            0.012322,            0.020335,           0.0052895,             0.83274,             0.10849,            0.044245,            0.069372,            0.013888,            0.020604,           0.0094803,           0.0094803,           0.0094803
                  23,            0.072539,            0.013706,            0.025467,           0.0042738,             0.73899,             0.11079,            0.039032,            0.070496,            0.013067,            0.018631,           0.0094555,           0.0094555,           0.0094555
                  24,            0.067887,             0.01287,            0.019624,             0.84138,            0.097826,             0.19045,            0.062052,            0.069827,            0.013114,            0.017793,           0.0094307,           0.0094307,           0.0094307
                  25,            0.060518,            0.013687,            0.018633,             0.93594,            0.063319,             0.20144,            0.085583,            0.064348,            0.013683,            0.017191,            0.009406,            0.009406,            0.009406
                  26,            0.057736,            0.013311,            0.018547,             0.88459,              0.1087,             0.25484,            0.089119,            0.069191,            0.012638,            0.015973,           0.0093813,           0.0093813,           0.0093813
                  27,            0.067575,            0.012013,            0.017231,             0.30209,             0.42663,             0.11805,            0.039482,            0.071923,            0.012075,            0.015756,           0.0093565,           0.0093565,           0.0093565
                  28,            0.066744,            0.012485,            0.018435,             0.89506,             0.13043,              0.2507,             0.10122,            0.064597,             0.01312,            0.015531,           0.0093317,           0.0093317,           0.0093317
                  29,            0.050039,            0.012022,            0.019562,             0.56317,             0.12283,            0.033904,           0.0073662,            0.069461,            0.011453,            0.015194,            0.009307,            0.009307,            0.009307
                  30,            0.063353,            0.010353,            0.018173,             0.84184,            0.097826,             0.26064,            0.093494,            0.061374,            0.012675,            0.015127,           0.0092823,           0.0092823,           0.0092823
                  31,            0.053386,            0.012783,            0.019894,             0.77754,             0.17479,             0.25508,            0.095151,            0.059814,             0.01284,            0.015191,           0.0092575,           0.0092575,           0.0092575
                  32,              0.0525,             0.01197,            0.016423,             0.72792,             0.26467,             0.29333,             0.11891,            0.059771,            0.012779,            0.015619,           0.0092327,           0.0092327,           0.0092327
                  33,            0.059844,            0.011218,            0.020787,             0.90904,             0.19946,             0.34028,             0.13482,            0.066144,             0.01187,            0.016272,            0.009208,            0.009208,            0.009208
                  34,            0.056357,            0.012915,            0.018102,             0.81793,             0.18859,             0.27394,            0.097954,            0.057867,            0.012371,            0.015798,           0.0091833,           0.0091833,           0.0091833
                  35,             0.05271,            0.011841,            0.017266,             0.82923,             0.20823,             0.34936,             0.14347,            0.055263,            0.012706,            0.015486,           0.0091585,           0.0091585,           0.0091585
                  36,            0.054182,             0.01043,            0.015394,             0.66188,             0.25815,             0.19216,            0.062784,            0.063685,            0.011428,            0.014927,           0.0091337,           0.0091337,           0.0091337
                  37,            0.049657,           0.0083681,            0.014175,             0.77886,             0.25054,             0.25959,             0.08942,            0.067111,            0.010796,            0.014286,            0.009109,            0.009109,            0.009109
                  38,             0.06057,            0.011437,            0.016007,             0.78756,             0.25217,             0.28403,            0.069936,            0.060846,            0.011408,             0.01392,           0.0090843,           0.0090843,           0.0090843
                  39,            0.051935,            0.011943,            0.015272,             0.67157,             0.24613,             0.31354,             0.13002,            0.058183,            0.011491,            0.013971,           0.0090595,           0.0090595,           0.0090595
                  40,            0.059882,            0.012538,            0.018644,             0.79468,             0.30815,             0.40593,             0.16479,            0.056669,            0.011636,            0.013717,           0.0090347,           0.0090347,           0.0090347
                  41,            0.049415,            0.010163,            0.015556,             0.77474,             0.30815,             0.40911,              0.1551,            0.051027,            0.011857,            0.013651,             0.00901,             0.00901,             0.00901
                  42,            0.050818,             0.01125,            0.014694,             0.67887,             0.40254,             0.31519,             0.11482,            0.057319,            0.010533,            0.013168,           0.0089853,           0.0089853,           0.0089853
                  43,            0.055136,             0.01076,            0.017046,              0.7777,             0.40473,             0.45586,             0.21308,            0.049579,             0.01145,            0.012441,           0.0089605,           0.0089605,           0.0089605
                  44,            0.048096,            0.010617,             0.01549,             0.67043,             0.40997,              0.3753,             0.15757,            0.052925,            0.011001,             0.01202,           0.0089358,           0.0089358,           0.0089358
                  45,            0.045553,            0.010685,            0.013097,             0.53123,             0.37085,             0.19177,            0.054614,            0.066266,           0.0097264,            0.010942,            0.008911,            0.008911,            0.008911
                  46,            0.053373,           0.0073508,            0.010628,             0.58261,             0.41479,             0.36131,             0.13946,            0.059898,             0.01023,             0.01097,           0.0088863,           0.0088863,           0.0088863
                  47,             0.04918,            0.010319,            0.011497,             0.56129,             0.43174,              0.3357,             0.14139,            0.053434,            0.011061,            0.010381,           0.0088615,           0.0088615,           0.0088615
                  48,            0.048037,           0.0095902,            0.011032,             0.68136,             0.40072,             0.42213,             0.19369,            0.052283,            0.011277,             0.01021,           0.0088368,           0.0088368,           0.0088368
                  49,            0.049949,           0.0099814,            0.010085,             0.65779,             0.41114,             0.44215,             0.18876,            0.051409,             0.01124,            0.010207,            0.008812,            0.008812,            0.008812
                  50,            0.045852,           0.0095551,           0.0095373,             0.71491,             0.39031,             0.46735,             0.21973,            0.051357,            0.010922,           0.0098577,           0.0087872,           0.0087872,           0.0087872
                  51,            0.046977,           0.0087183,            0.013106,             0.70048,             0.41659,             0.45635,             0.21775,            0.050562,            0.010598,           0.0099195,           0.0087625,           0.0087625,           0.0087625
                  52,            0.045388,           0.0076612,           0.0098819,             0.61363,             0.42156,             0.44192,             0.18546,            0.055554,           0.0097884,           0.0098166,           0.0087378,           0.0087378,           0.0087378
                  53,            0.049325,           0.0098791,            0.011399,             0.68587,             0.45281,             0.58498,             0.27479,            0.052705,            0.010054,           0.0098641,            0.008713,            0.008713,            0.008713
                  54,            0.048229,           0.0091339,           0.0099973,              0.5628,             0.48992,             0.56136,              0.2665,            0.050715,            0.010232,           0.0098372,           0.0086882,           0.0086882,           0.0086882
                  55,            0.045103,            0.008042,             0.01161,             0.51227,             0.56367,             0.54056,             0.23487,            0.053682,           0.0097866,           0.0093994,           0.0086635,           0.0086635,           0.0086635
                  56,            0.052846,           0.0086057,            0.012497,             0.55845,             0.54915,             0.58521,             0.25122,            0.053658,           0.0096391,           0.0090971,           0.0086388,           0.0086388,           0.0086388
                  57,             0.04454,           0.0087542,            0.010824,             0.54573,             0.57558,             0.65601,             0.31402,            0.051851,           0.0096255,           0.0090436,            0.008614,            0.008614,            0.008614
                  58,            0.045364,           0.0075331,           0.0095638,             0.65765,             0.62557,             0.58403,              0.2096,            0.052653,           0.0091099,             0.00878,           0.0085893,           0.0085893,           0.0085893
                  59,            0.047727,           0.0080787,             0.01022,             0.58501,             0.67922,             0.63582,             0.22183,            0.051293,           0.0091186,           0.0086828,           0.0085645,           0.0085645,           0.0085645
                  60,            0.051476,            0.007745,           0.0086803,             0.64217,             0.67082,             0.65268,             0.26276,            0.050972,           0.0094339,            0.008563,           0.0085398,           0.0085398,           0.0085398
                  61,            0.049517,           0.0080141,             0.01124,             0.50568,             0.54849,             0.55715,             0.19833,            0.051361,           0.0089938,           0.0091877,            0.008515,            0.008515,            0.008515
                  62,            0.052651,           0.0075331,           0.0090182,             0.50965,              0.5385,              0.4992,             0.20535,            0.050697,           0.0092813,             0.00904,           0.0084903,           0.0084903,           0.0084903
                  63,            0.045242,           0.0073199,            0.008325,             0.45156,             0.62381,             0.49587,             0.20709,             0.05193,           0.0090748,           0.0089659,           0.0084655,           0.0084655,           0.0084655
                  64,            0.046034,           0.0088825,            0.008616,             0.46744,             0.64198,             0.52872,             0.22259,            0.052297,             0.00911,           0.0090925,           0.0084408,           0.0084408,           0.0084408
                  65,            0.042972,           0.0072387,           0.0089257,             0.39369,             0.53153,             0.49251,             0.18025,            0.054909,           0.0091701,           0.0083964,            0.008416,            0.008416,            0.008416
                  66,            0.047598,           0.0072531,           0.0077483,             0.47856,             0.58991,             0.54083,             0.22712,             0.05531,           0.0089653,           0.0079952,           0.0083913,           0.0083913,           0.0083913
